strategy,side,open_ts,close_ts,entry,exit,qty,pnl,fee,pnl_pct,holding_hrs,reason
grid,long,2020-11-25 11:00,2020-11-25 12:00,18992.3268,19291.59,1642.47571,459450.58,32082.04,1.473,1,grid TP hit (19277.21)
grid,long,2020-11-25 13:00,2020-11-25 14:00,18910.5717,19268.99,1816.798824,615728.38,35445.48,1.792,1,grid TP hit (19194.23)
ema,short,2020-11-26 03:00,2020-11-26 08:00,17927.98,16878.8,10553.62904,10883390.63,189265.88,5.752,5,TP hit (16978.30)
grid,long,2020-11-25 15:00,2020-11-28 05:00,18839.9374,16977.99,2009.057213,-3801303.67,60544.81,-10.043,62,grid SL hit (18274.74)
dca,long,2020-11-26 02:00,2020-11-28 05:00,18400.98,16977.99,3085.166693,-4475933.49,85772.13,-7.884,51,DCA SL hit (17112.91)
grid,long,2020-11-28 06:00,2020-11-28 10:00,16764.0302,17195.73,3964.758439,1639999.66,71585.76,2.467,4,grid TP hit (17015.49)
grid,long,2020-11-28 11:00,2020-11-28 13:00,16902.8857,17356.02,4334.716461,1887094.66,77114.26,2.576,2,grid TP hit (17156.43)
grid,long,2020-11-28 14:00,2020-11-28 15:00,17076.0289,17517.04,4730.462867,2002286.89,83899.5,2.479,1,grid TP hit (17332.17)
grid,long,2020-11-28 16:00,2020-11-28 17:00,17441.6511,17745.74,5105.44692,1460777.31,91732.43,1.64,1,grid TP hit (17703.28)
ema,long,2020-11-28 20:00,2020-11-30 00:00,17673.21,18430.33,27748.080381,20318228.14,690398.48,4.143,28,TP hit (18264.58)
grid,long,2020-11-28 18:00,2020-12-02 11:00,17464.0402,19127.31,5616.646459,9116392.9,225605.81,9.294,88,grid TP hit (17726.00)
grid,long,2020-12-02 12:00,2020-12-02 13:00,18656.8653,19124.51,8566.425774,3840167.06,165876.55,2.403,1,grid TP hit (18936.72)
grid,long,2020-12-02 14:00,2020-12-02 17:00,18626.5569,18976.33,9458.159809,3121998.64,186211.71,1.772,3,grid TP hit (18905.96)
grid,long,2020-12-02 18:00,2020-12-02 19:00,18726.8102,19101.1,10364.009008,3678704.86,200438.52,1.895,1,grid TP hit (19007.71)
grid,long,2020-12-02 20:00,2020-12-02 21:00,18797.149,19145.01,11376.287649,3736845.17,220521.63,1.747,1,grid TP hit (19079.11)
grid,long,2020-12-02 22:00,2020-12-02 23:00,18824.463,19204.09,12514.473912,4507498.37,243333.2,1.913,1,grid TP hit (19106.83)
grid,long,2020-12-03 00:00,2020-12-03 07:00,18892.3,19208.11,13739.103705,4051952.68,286993.66,1.561,7,grid TP hit (19175.68)
grid,long,2020-12-03 08:00,2020-12-03 11:00,19088.1082,19396.5,14977.850739,4317634.8,301412.3,1.51,3,grid TP hit (19374.43)
grid,long,2020-12-03 12:00,2020-12-03 14:00,19031.4411,19351.32,16545.877434,4964487.89,328189.18,1.577,2,grid TP hit (19316.91)
grid,long,2020-12-03 15:00,2020-12-10 23:00,19241.975,18254.63,18025.490659,-18850333.79,1052955.72,-5.435,176,grid SL hit (18664.72)
grid,long,2020-12-12 00:00,2020-12-12 04:00,18066.9291,18370.28,21011.369702,5968533.93,405283.98,1.572,4,grid TP hit (18337.93)
grid,long,2020-12-12 05:00,2020-12-12 06:00,18038.6596,18315.76,23179.71074,5993246.17,429860.94,1.433,1,grid TP hit (18309.24)
grid,long,2020-12-12 07:00,2020-12-12 08:00,18105.1372,18377.64,25434.853545,6457792.05,473275.49,1.402,1,grid TP hit (18376.71)
grid,long,2020-12-12 09:00,2020-12-12 11:00,18156.9679,18506.1,27931.502454,9221956.95,529825.76,1.818,2,grid TP hit (18429.32)
grid,long,2020-12-12 12:00,2020-12-12 17:00,18168.4728,18483.17,30753.163603,9073994.07,603941.95,1.624,5,grid TP hit (18441.00)
grid,long,2020-12-12 18:00,2020-12-12 19:00,18407.3057,18805.29,33435.819018,12670301.13,636629.9,2.059,1,grid TP hit (18683.42)
grid,long,2020-12-14 06:00,2020-12-14 08:00,18918.1365,19222.0,35849.998132,10187167.73,706336.38,1.502,2,grid TP hit (19201.91)
grid,long,2020-12-14 09:00,2020-12-14 13:00,18896.8409,19184.19,39529.759347,10562579.01,796263.73,1.414,4,grid TP hit (19180.29)
grid,long,2020-12-14 14:00,2020-12-14 18:00,18933.4139,19236.75,43450.583811,12302490.22,877640.42,1.495,4,grid TP hit (19217.42)
grid,long,2020-12-14 19:00,2020-12-14 20:00,18888.2418,19208.07,47970.725283,14409447.86,932942.86,1.59,1,grid TP hit (19171.57)
grid,long,2020-12-14 21:00,2020-12-14 22:00,18909.8626,19291.9,52778.874421,19132574.27,1030932.33,1.917,1,grid TP hit (19193.51)
grid,long,2020-12-14 23:00,2020-12-15 00:00,18984.0429,19394.94,57925.429584,22663887.55,1137503.48,2.061,1,grid TP hit (19268.80)
grid,long,2020-12-15 01:00,2020-12-15 02:00,19163.2341,19458.97,63234.688925,17454904.7,1245862.94,1.44,1,grid TP hit (19450.68)
grid,long,2020-12-15 03:00,2020-12-15 18:00,19187.5045,19530.0,69554.827945,22209108.7,1613106.88,1.664,15,grid TP hit (19475.32)
grid,long,2020-12-15 19:00,2020-12-16 10:00,19237.4243,19798.17,76420.281696,41055678.55,1796665.8,2.793,15,grid TP hit (19525.99)
grid,long,2020-12-16 11:00,2020-12-16 12:00,19443.6833,19762.81,83374.165915,24938618.29,1668304.15,1.538,1,grid TP hit (19735.34)
grid,long,2020-12-16 13:00,2020-12-18 22:00,20014.7173,23011.38,89211.488012,263821178.02,3515556.06,14.775,57,grid TP hit (20314.94)
grid,long,2020-12-18 23:00,2020-12-19 13:00,22760.7791,23172.74,87444.306675,33642699.99,2380930.92,1.69,14,grid TP hit (23102.19)
grid,long,2020-12-19 14:00,2020-12-19 15:00,22947.5056,23552.01,95543.972645,55478371.1,2278380.76,2.53,1,grid TP hit (23291.72)
grid,long,2020-12-19 16:00,2020-12-20 20:00,23606.9828,24172.25,102388.095931,54535448.92,3341183.38,2.256,28,grid TP hit (23961.09)
grid,long,2020-12-20 21:00,2020-12-20 22:00,23022.4542,23507.79,115712.826708,53405416.79,2754154.74,2.005,1,grid TP hit (23367.79)
