strategy,side,open_ts,close_ts,entry,exit,qty,pnl,fee,pnl_pct,holding_hrs,reason
grid,long,2025-09-26 15:00,2025-09-26 17:00,3753.244,3812.8,0.925405,30.01,25.1,0.864,2,grid TP hit (3809.54)
grid,long,2025-09-26 18:00,2025-09-26 20:00,3751.471,3809.0,0.925983,28.17,25.1,0.811,2,grid TP hit (3807.74)
grid,long,2025-09-28 22:00,2025-09-29 00:00,3743.0985,3816.1,0.928146,42.65,25.11,1.228,2,grid TP hit (3799.24)
grid,long,2025-09-29 01:00,2025-09-29 02:00,3750.88,3822.1,0.926698,40.89,25.11,1.176,1,grid TP hit (3807.14)
grid,long,2025-09-29 03:00,2025-09-29 04:00,3766.1475,3833.6,0.923371,37.18,25.11,1.069,1,grid TP hit (3822.64)
ema,short,2025-09-25 05:00,2025-09-29 05:00,3768.8,3841.8,7.528839,-585.53,35.92,-2.064,46,SL hit (3784.50)
grid,long,2025-10-01 14:00,2025-10-02 08:00,3841.4015,3899.3,1.629018,68.01,26.31,1.087,17,grid TP hit (3899.02)
grid,long,2025-10-02 09:00,2025-10-02 10:00,3845.7355,3906.6,1.628284,72.79,26.31,1.162,1,grid TP hit (3903.42)
grid,long,2025-10-02 11:00,2025-10-03 15:00,3852.532,3914.4,1.626635,74.32,26.31,1.186,27,grid TP hit (3910.32)
grid,long,2025-10-03 16:00,2025-10-03 18:00,3850.2665,3911.8,1.628856,73.91,26.31,1.179,2,grid TP hit (3908.02)
grid,long,2025-10-03 19:00,2025-10-05 22:00,3852.2365,3927.3,1.629276,95.97,26.33,1.529,2,grid TP hit (3910.02)
grid,long,2025-10-05 23:00,2025-10-06 01:00,3876.2705,3943.3,1.620989,82.33,26.32,1.31,2,grid TP hit (3934.41)
grid,long,2025-10-09 10:00,2025-10-09 11:00,4003.1385,4063.7,1.571032,68.82,26.32,1.094,1,grid TP hit (4063.19)
grid,long,2025-10-09 12:00,2025-10-13 01:00,4011.8065,4072.0,1.568714,68.11,26.32,1.082,35,grid TP hit (4071.98)
grid,long,2025-10-13 02:00,2025-10-13 03:00,4005.1085,4070.2,0.864796,31.19,25.1,0.901,1,grid TP hit (4065.19)
grid,long,2025-10-13 04:00,2025-10-13 05:00,4012.496,4082.6,0.863365,35.42,25.1,1.023,1,grid TP hit (4072.68)
grid,long,2025-10-13 06:00,2025-10-13 07:00,4027.3695,4089.7,0.860442,28.53,25.1,0.823,1,grid TP hit (4087.78)
ema,short,2025-10-09 20:00,2025-10-13 09:00,3991.1,4097.0,7.092623,-787.09,35.98,-2.781,35,SL hit (4022.25)
