strategy,side,open_ts,close_ts,entry,exit,qty,pnl,fee,pnl_pct,holding_hrs,reason
grid,long,2025-03-01 21:00,2025-03-01 22:00,84785.7071,86116.35,0.355485,442.03,31.0,1.467,1,grid TP hit (86057.49)
grid,long,2025-03-01 23:00,2025-03-02 06:00,84773.562,86277.65,0.356022,502.08,33.4,1.664,7,grid TP hit (86045.17)
grid,long,2025-03-02 07:00,2025-03-02 15:00,84938.9337,87427.99,0.355884,851.59,34.23,2.817,8,grid TP hit (86213.02)
ema,long,2025-03-01 07:00,2025-03-02 17:00,84740.15,94093.75,3.038153,28010.3,407.37,10.88,34,TP hit (87765.27)
ema,short,2025-03-04 00:00,2025-03-04 19:00,86046.43,88206.19,3.243763,-7359.82,354.07,-2.637,19,SL hit (88187.13)
ema,long,2025-03-05 07:00,2025-03-06 01:00,87619.49,91057.19,3.141935,10450.56,350.47,3.796,18,TP hit (91025.38)
grid,long,2025-03-02 16:00,2025-03-07 00:00,89832.0,85529.22,0.337414,-1518.19,66.38,-5.009,104,grid SL hit (87137.04)
grid,long,2025-03-07 01:00,2025-03-07 10:00,86939.8923,89263.4,0.576301,1281.81,57.23,2.558,9,grid TP hit (88243.99)
grid,long,2025-03-07 11:00,2025-03-07 12:00,87632.4556,89051.13,0.573152,761.44,51.68,1.516,1,grid TP hit (88946.94)
grid,long,2025-03-07 13:00,2025-03-07 14:00,87798.9403,90440.74,0.572875,1460.96,52.46,2.905,1,grid TP hit (89115.92)
grid,long,2025-03-07 15:00,2025-03-07 18:00,87131.1202,88589.33,0.578885,790.93,53.21,1.568,3,grid TP hit (88438.09)
grid,long,2025-03-07 19:00,2025-03-11 10:00,86502.7985,81808.26,0.583946,-2841.08,99.72,-5.624,87,grid SL hit (83907.71)
grid,long,2025-03-11 11:00,2025-03-11 18:00,80494.5349,83280.94,0.62394,1682.04,56.51,3.349,7,grid TP hit (81701.95)
grid,long,2025-03-11 19:00,2025-03-11 21:00,81857.4499,83110.72,0.615545,719.01,52.44,1.427,2,grid TP hit (83085.31)
grid,long,2025-03-11 22:00,2025-03-12 01:00,81886.4778,83313.6,0.616143,826.05,53.26,1.637,3,grid TP hit (83114.77)
grid,long,2025-03-12 02:00,2025-03-12 07:00,81194.3282,82447.79,0.622351,725.57,54.52,1.436,5,grid TP hit (82412.24)
grid,long,2025-03-12 08:00,2025-03-12 09:00,81449.3249,82680.06,0.621231,712.57,52.01,1.408,1,grid TP hit (82671.06)
grid,long,2025-03-12 10:00,2025-03-12 11:00,81255.2799,83004.45,0.62353,1038.26,52.4,2.049,1,grid TP hit (82474.11)
grid,long,2025-03-12 12:00,2025-03-13 17:00,82807.965,80064.0,0.613031,-1749.01,66.87,-3.445,29,grid SL hit (80323.73)
grid,long,2025-03-13 18:00,2025-03-13 21:00,79607.7492,80819.99,0.635414,716.99,53.28,1.417,3,grid TP hit (80801.87)
grid,long,2025-03-13 22:00,2025-03-14 00:00,80174.6069,81503.31,0.631752,786.63,52.78,1.553,2,grid TP hit (81377.23)
grid,long,2025-03-14 01:00,2025-03-14 02:00,80379.0338,82226.98,0.631061,1113.63,52.54,2.195,1,grid TP hit (81584.72)
grid,long,2025-03-14 03:00,2025-03-14 04:00,80660.4385,81948.16,0.630177,759.21,52.29,1.494,1,grid TP hit (81870.35)
grid,long,2025-03-14 05:00,2025-03-14 07:00,80909.8306,82170.85,0.62911,740.33,52.99,1.454,2,grid TP hit (82123.48)
grid,long,2025-03-14 08:00,2025-03-14 09:00,81354.5384,82776.5,0.626519,838.38,52.51,1.645,1,grid TP hit (82574.86)
grid,long,2025-03-14 10:00,2025-03-14 11:00,81796.5867,83253.15,0.624096,856.43,52.61,1.678,1,grid TP hit (83023.54)
grid,long,2025-03-14 12:00,2025-03-14 13:00,82169.5569,83602.16,0.622243,838.76,52.67,1.64,1,grid TP hit (83402.10)
grid,long,2025-03-14 14:00,2025-03-14 15:00,82271.928,84724.58,0.622426,1473.2,53.39,2.877,1,grid TP hit (83506.01)
ema,short,2025-03-16 13:00,2025-03-16 14:00,82596.1,83373.16,2.797361,-2409.86,236.14,-1.043,1,SL hit (83225.43)
grid,long,2025-03-14 16:00,2025-03-21 01:00,83515.5595,84775.07,0.61486,622.61,151.81,1.212,153,grid TP hit (84768.29)
grid,long,2025-03-21 02:00,2025-03-23 11:00,83415.119,84679.99,0.61312,686.61,88.91,1.343,57,grid TP hit (84666.35)
grid,long,2025-03-23 12:00,2025-03-23 13:00,83454.3614,85093.59,0.613593,952.95,52.87,1.861,1,grid TP hit (84706.18)
grid,long,2025-03-23 14:00,2025-03-23 15:00,83626.2636,85189.41,0.61341,905.94,52.91,1.766,1,grid TP hit (84880.66)
grid,long,2025-03-26 02:00,2025-03-26 04:00,86014.731,87326.78,0.59737,730.31,53.47,1.421,2,grid TP hit (87304.95)
grid,long,2025-03-26 05:00,2025-03-26 06:00,86207.5448,87909.07,0.596821,962.39,53.12,1.871,1,grid TP hit (87500.66)
grid,long,2025-03-26 07:00,2025-03-26 10:00,86818.3433,88208.47,0.593672,770.95,54.33,1.496,3,grid TP hit (88120.62)
grid,long,2025-03-26 11:00,2025-03-30 12:00,86635.6356,83072.76,0.595754,-2232.1,109.5,-4.325,97,grid SL hit (84036.57)
grid,long,2025-03-30 13:00,2025-03-30 14:00,81438.2437,82803.28,0.630971,808.4,52.9,1.573,1,grid TP hit (82659.82)
grid,long,2025-03-31 22:00,2025-03-31 23:00,81173.8402,82550.01,0.633959,819.45,52.99,1.592,1,grid TP hit (82391.45)
grid,long,2025-04-01 00:00,2025-04-01 01:00,81411.3335,82704.2,0.633053,765.44,53.01,1.485,1,grid TP hit (82632.50)
grid,long,2025-04-01 02:00,2025-04-01 06:00,81853.5,83454.76,0.630505,954.35,55.25,1.849,4,grid TP hit (83081.30)
grid,long,2025-04-01 07:00,2025-04-01 08:00,82193.8175,84121.94,0.628993,1159.2,53.57,2.242,1,grid TP hit (83426.72)
grid,long,2025-04-01 09:00,2025-04-01 15:00,83096.57,85280.87,0.623493,1304.73,57.16,2.518,6,grid TP hit (84343.02)
grid,long,2025-04-01 16:00,2025-04-01 17:00,83843.1901,85117.85,0.619435,736.18,53.38,1.418,1,grid TP hit (85100.84)
grid,long,2025-04-01 18:00,2025-04-01 20:00,83849.7798,85231.28,0.620202,802.63,54.18,1.543,2,grid TP hit (85107.53)
grid,long,2025-04-01 21:00,2025-04-02 13:00,83945.4824,85215.82,0.620389,724.66,63.44,1.391,16,grid TP hit (85204.66)
grid,long,2025-04-02 14:00,2025-04-02 15:00,84589.5838,86757.67,0.61646,1282.39,54.15,2.459,1,grid TP hit (85858.43)
grid,long,2025-04-02 16:00,2025-04-02 23:00,85759.2023,82516.29,0.609487,-2031.21,54.69,-3.886,7,grid SL hit (83186.43)
grid,long,2025-04-03 00:00,2025-04-03 01:00,81979.1368,83761.62,0.635049,1078.11,53.86,2.071,1,grid TP hit (83208.82)
grid,long,2025-04-03 02:00,2025-04-04 07:00,82511.4898,83992.85,0.632196,864.16,72.35,1.657,29,grid TP hit (83749.16)
grid,long,2025-04-04 08:00,2025-04-04 09:00,83149.7502,84571.38,0.62832,839.44,53.8,1.607,1,grid TP hit (84397.00)
grid,long,2025-04-04 10:00,2025-04-04 11:00,81328.5246,82680.45,0.643358,815.91,53.86,1.559,1,grid TP hit (82548.45)
grid,long,2025-04-04 12:00,2025-04-04 13:00,81636.7902,83335.99,0.641864,1036.5,54.16,1.978,1,grid TP hit (82861.34)
grid,long,2025-04-04 14:00,2025-04-04 15:00,81335.3703,82860.0,0.645452,929.92,54.15,1.771,1,grid TP hit (82555.40)
grid,long,2025-04-04 16:00,2025-04-04 17:00,82141.8095,84460.0,0.640184,1429.32,54.75,2.718,1,grid TP hit (83373.94)
grid,long,2025-04-04 18:00,2025-04-04 19:00,82730.0219,84009.99,0.637296,761.51,54.21,1.444,1,grid TP hit (83970.97)
grid,long,2025-04-04 20:00,2025-04-04 21:00,82901.5597,84185.8,0.636832,763.56,54.28,1.446,1,grid TP hit (84145.08)
grid,long,2025-04-04 22:00,2025-04-08 18:00,82795.8889,77259.91,0.638504,-3640.8,106.06,-6.887,92,grid SL hit (80312.01)
dca,long,2025-03-07 00:00,2025-04-08 18:00,85529.22,77259.91,1.033957,-9414.85,864.74,-10.646,786,DCA SL hit (79542.17)
grid,long,2025-04-08 19:00,2025-04-08 20:00,75701.2392,77133.41,0.797847,1080.34,62.31,1.789,1,grid TP hit (76836.76)
grid,long,2025-04-08 21:00,2025-04-09 09:00,75943.5,77478.26,0.796644,1151.68,70.98,1.904,12,grid TP hit (77082.65)
grid,long,2025-04-09 10:00,2025-04-09 13:00,76032.15,77698.12,0.797151,1263.77,64.26,2.085,3,grid TP hit (77172.63)
grid,long,2025-04-09 14:00,2025-04-09 15:00,75716.95,77258.0,0.802058,1173.27,62.74,1.932,1,grid TP hit (76852.70)
grid,long,2025-04-09 16:00,2025-04-09 17:00,77093.6648,82202.16,0.789178,3965.83,65.68,6.518,1,grid TP hit (78250.07)
grid,long,2025-04-09 18:00,2025-04-11 09:00,80561.5445,82450.0,0.760054,1342.11,93.22,2.192,39,grid TP hit (81769.97)
grid,long,2025-04-11 10:00,2025-04-11 13:00,81466.2571,82930.67,0.363931,501.63,31.31,1.692,3,grid TP hit (82688.25)
grid,long,2025-04-11 14:00,2025-04-11 15:00,80669.53,82521.74,0.36811,651.06,30.76,2.192,1,grid TP hit (81879.57)
grid,long,2025-04-11 16:00,2025-04-11 17:00,81550.5731,83930.0,0.364895,837.23,31.01,2.814,1,grid TP hit (82773.83)
dca,long,2025-04-10 15:00,2025-04-11 17:00,78757.0,83930.0,0.524209,2653.44,58.3,6.427,26,DCA target hit (83482.42)
grid,long,2025-04-11 18:00,2025-04-13 18:00,82353.8702,84730.0,0.41567,931.33,56.35,2.721,48,grid TP hit (83589.18)
grid,long,2025-04-13 19:00,2025-04-14 00:00,82721.5903,84325.74,0.414907,628.4,37.17,1.831,5,grid TP hit (83962.41)
grid,long,2025-04-14 01:00,2025-04-14 02:00,82964.58,85140.7,0.414408,866.08,35.72,2.519,1,grid TP hit (84209.05)
grid,long,2025-04-14 03:00,2025-04-14 04:00,83297.5396,84869.31,0.41375,614.77,35.55,1.784,1,grid TP hit (84547.00)
grid,long,2025-04-14 05:00,2025-04-14 06:00,83306.5523,84624.21,0.414401,510.53,35.51,1.479,1,grid TP hit (84556.15)
