strategy,instrument,cagr,total_return,final_value,max_dd,sharpe,calmar,win_rate,total_trades,avg_win,avg_loss,profit_factor,avg_duration,expectancy,years,gross_cagr,cagr_drag,total_costs,total_stt,total_dp,total_stamp,total_txn,total_gst,avg_cost_pct,bull_trades,bull_wr,bull_avg_pnl,bear_trades,bear_wr,bear_avg_pnl,sideways_trades,sideways_wr,sideways_avg_pnl
BB Squeeze Breakout,Bajaj Finserv,17.77,3239.9,3339905.0,34.83,1.01,0.51,48.4,124,11.73,-4.35,1.78,18.0,3.43,21.4,18.34,0.57,365352.0,327368.0,1902.0,24282.0,9723.0,1750.0,0.23,83,47.0,3.12,20,50.0,3.81,21,52.4,4.31
BB Squeeze Breakout,Adani Ent.,19.65,4589.2,4689198.0,37.75,0.84,0.52,42.2,147,14.42,-4.86,1.46,12.0,3.27,21.5,20.43,0.78,701396.0,629621.0,2255.0,46825.0,18700.0,3366.0,0.228,88,43.2,3.41,27,29.6,0.53,32,50.0,5.2
BB Squeeze Breakout,Bajaj Finance,12.05,1046.75,1146754.0,41.0,0.71,0.29,45.2,124,11.07,-4.61,1.74,18.0,2.47,21.4,12.62,0.57,132461.0,117589.0,1902.0,8731.0,3492.0,629.0,0.232,88,43.2,2.6,16,37.5,0.37,20,60.0,3.57
BB Squeeze Breakout,SBI,10.73,790.87,890872.0,32.52,0.7,0.33,47.0,100,10.33,-4.13,1.69,21.0,2.66,21.4,11.35,0.62,113259.0,100620.0,1534.0,7479.0,2988.0,538.0,0.23,62,46.8,1.67,18,27.8,0.08,20,65.0,8.08
BB Squeeze Breakout,Grasim,8.55,481.1,581098.0,25.35,0.63,0.34,46.2,104,8.89,-3.76,1.49,23.0,2.08,21.4,9.38,0.83,103008.0,91316.0,1595.0,6805.0,2712.0,488.0,0.229,71,40.8,1.18,15,40.0,3.64,18,72.2,4.33
BB Squeeze Breakout,UltraCemco,7.95,415.93,515932.0,23.52,0.61,0.34,45.2,104,9.04,-3.89,1.58,22.0,1.95,21.4,8.66,0.71,77524.0,68373.0,1595.0,5091.0,2031.0,366.0,0.23,76,39.5,1.85,13,30.8,-0.82,15,86.7,4.9
52-Week High Breakout,Britannia,6.21,263.79,363788.0,28.5,0.59,0.22,54.5,33,12.38,-4.26,3.58,44.0,4.82,21.5,6.39,0.19,14010.0,12173.0,506.0,892.0,362.0,65.0,0.238,32,53.1,4.96,0,0.0,0.0,1,100.0,0.09
ADX Breakout,Titan,4.71,168.4,268396.0,34.3,0.57,0.14,45.1,51,8.72,-2.88,2.61,18.0,2.35,21.5,5.0,0.29,16575.0,14227.0,782.0,1053.0,423.0,76.0,0.237,49,44.9,2.36,0,0.0,0.0,2,50.0,2.17
BB Squeeze Breakout,Shree Cement,8.36,459.2,559197.0,47.23,0.56,0.18,38.8,121,11.03,-3.99,1.31,19.0,1.85,21.4,9.44,1.08,132402.0,117538.0,1856.0,8771.0,3491.0,628.0,0.229,85,40.0,2.47,15,20.0,-2.09,21,47.6,2.13
BB Squeeze Breakout,Eicher Motors,8.43,467.56,567556.0,43.74,0.53,0.19,37.8,135,12.0,-4.49,1.38,15.0,1.74,21.4,9.29,0.85,104092.0,91863.0,2071.0,6847.0,2728.0,491.0,0.231,91,37.4,1.43,23,30.4,1.81,21,47.6,3.02
Golden Cross,Divi's Lab,2.85,82.77,182773.0,9.57,0.47,0.3,66.7,6,19.42,-1.96,22.87,84.0,12.29,21.5,2.89,0.04,1575.0,1340.0,92.0,94.0,40.0,7.0,0.25,6,66.7,12.29,0,0.0,0.0,0,0.0,0.0
Stochastic Reversal,Eicher Motors,2.44,67.61,167611.0,11.3,0.45,0.22,52.8,36,4.85,-2.0,2.38,4.0,1.61,21.4,2.76,0.32,11723.0,10059.0,552.0,749.0,299.0,54.0,0.235,29,55.2,1.8,1,0.0,-2.66,6,50.0,1.43
52-Week High Breakout,Bajaj Auto,4.44,153.8,253798.0,25.74,0.45,0.17,46.4,28,15.35,-4.99,2.61,56.0,4.46,21.5,4.59,0.16,8338.0,7129.0,430.0,523.0,212.0,38.0,0.24,28,46.4,4.46,0,0.0,0.0,0,0.0,0.0
Trend + RSI Pullback,BPCL,1.58,39.92,139919.0,10.42,0.44,0.15,52.9,17,6.59,-2.6,2.73,10.0,2.26,21.4,1.73,0.15,4465.0,3787.0,261.0,281.0,112.0,20.0,0.239,17,52.9,2.26,0,0.0,0.0,0,0.0,0.0
52-Week High Breakout,Shree Cement,4.55,159.49,259490.0,29.96,0.44,0.15,37.8,37,18.4,-5.15,1.67,32.0,3.76,21.4,4.84,0.3,16285.0,14158.0,568.0,1049.0,420.0,76.0,0.236,37,37.8,3.76,0,0.0,0.0,0,0.0,0.0
52-Week High Breakout,SBI Life,3.92,34.28,134281.0,17.29,0.43,0.23,55.6,9,10.38,-4.29,2.84,66.0,3.86,7.7,4.15,0.23,2304.0,1952.0,138.0,144.0,58.0,10.0,0.241,9,55.6,3.86,0,0.0,0.0,0,0.0,0.0
MACD Trend,Britannia,4.1,136.62,236619.0,20.05,0.42,0.2,49.5,95,5.44,-3.17,1.47,13.0,1.09,21.5,4.85,0.76,39762.0,34488.0,1457.0,2573.0,1024.0,184.0,0.233,82,48.8,0.53,5,40.0,3.44,8,62.5,5.38
Stochastic Reversal,TCS,1.56,39.37,139369.0,17.82,0.41,0.09,35.7,42,5.13,-1.46,1.72,4.0,0.89,21.5,1.98,0.42,13014.0,11137.0,644.0,831.0,331.0,60.0,0.235,40,35.0,0.79,1,100.0,6.03,1,0.0,-0.26
BB Squeeze Breakout,Titan,5.67,226.72,326725.0,36.36,0.41,0.16,43.4,122,8.92,-4.51,1.34,20.0,1.32,21.5,6.53,0.85,61651.0,53825.0,1871.0,4015.0,1599.0,288.0,0.232,89,43.8,1.56,15,26.7,-1.29,18,55.6,2.31
52-Week High Breakout,Adani Ent.,5.7,228.44,328436.0,27.84,0.41,0.2,46.3,54,12.42,-5.25,1.55,16.0,2.93,21.5,6.15,0.45,30978.0,27154.0,828.0,2017.0,806.0,145.0,0.233,52,48.1,3.32,0,0.0,0.0,2,0.0,-7.11
Golden Cross,Maruti,2.54,71.34,171340.0,11.71,0.4,0.22,77.8,9,9.87,-2.85,12.18,84.0,7.04,21.5,2.61,0.07,2406.0,2046.0,138.0,148.0,61.0,11.0,0.244,9,77.8,7.04,0,0.0,0.0,0,0.0,0.0
RSI Oversold Bounce,Power Grid,2.69,59.71,159709.0,18.14,0.4,0.15,66.7,27,5.64,-5.3,2.26,23.0,1.99,17.7,2.92,0.24,6599.0,5571.0,414.0,413.0,165.0,30.0,0.24,24,70.8,2.63,1,100.0,1.16,2,0.0,-5.3
Golden Cross,M&M,3.14,93.95,193949.0,11.47,0.4,0.27,88.9,9,9.36,-0.32,99.0,98.0,8.29,21.4,3.21,0.07,2956.0,2543.0,138.0,183.0,76.0,14.0,0.243,9,88.9,8.29,0,0.0,0.0,0,0.0,0.0
Triple MA Momentum,Eicher Motors,2.15,57.67,157671.0,11.77,0.4,0.18,58.8,17,7.91,-3.65,3.26,22.0,3.15,21.4,2.27,0.13,4192.0,3542.0,261.0,261.0,105.0,19.0,0.241,16,62.5,3.5,0,0.0,0.0,1,0.0,-2.44
Bollinger Band Bounce,Reliance,2.87,83.46,183462.0,17.03,0.39,0.17,57.1,49,5.32,-3.72,1.76,11.0,1.44,21.4,3.28,0.41,16181.0,13894.0,752.0,1035.0,413.0,74.0,0.235,48,58.3,1.56,0,0.0,0.0,1,0.0,-4.3
RSI Oversold Bounce,L&T,2.58,72.82,172819.0,17.64,0.39,0.15,64.1,39,5.53,-5.3,1.84,18.0,1.64,21.5,2.87,0.29,10855.0,9237.0,598.0,686.0,274.0,49.0,0.237,36,66.7,1.99,2,0.0,-5.3,1,100.0,3.12
BB Squeeze Breakout,L&T,6.91,319.32,419322.0,52.43,0.39,0.13,41.8,110,9.11,-3.71,1.46,21.0,1.65,21.5,7.71,0.79,72225.0,63514.0,1687.0,4734.0,1886.0,340.0,0.231,75,44.0,1.6,18,16.7,-0.26,17,58.8,3.9
Trend + RSI Pullback,Adani Ent.,1.36,33.59,133587.0,9.82,0.39,0.14,50.0,8,13.26,-4.65,2.48,8.0,4.31,21.5,1.44,0.08,2195.0,1868.0,123.0,137.0,55.0,10.0,0.241,7,42.9,1.88,0,0.0,0.0,1,100.0,21.31
RSI Oversold Bounce,Hindalco,3.43,105.99,205987.0,21.04,0.39,0.16,47.1,34,11.83,-5.3,2.04,11.0,2.76,21.5,3.64,0.22,9514.0,8102.0,522.0,598.0,241.0,43.0,0.24,30,46.7,2.98,2,0.0,-5.3,2,100.0,7.51
ADX Breakout,Hindalco,2.98,87.79,187787.0,23.95,0.38,0.12,51.6,31,8.92,-4.32,1.99,15.0,2.51,21.5,3.22,0.24,9508.0,8136.0,476.0,603.0,242.0,43.0,0.237,28,46.4,2.07,0,0.0,0.0,3,100.0,6.64
Trend + RSI Pullback,ICICI Bank,1.76,45.37,145371.0,11.41,0.36,0.15,47.6,21,7.51,-2.81,2.34,14.0,2.1,21.4,1.94,0.18,5696.0,4840.0,322.0,359.0,144.0,26.0,0.238,19,52.6,2.72,0,0.0,0.0,2,0.0,-3.79
Triple MA Momentum,HUL,1.76,45.31,145311.0,12.07,0.36,0.15,45.5,11,12.15,-2.9,2.99,33.0,3.94,21.5,1.86,0.1,3137.0,2675.0,169.0,197.0,79.0,14.0,0.24,10,50.0,4.86,0,0.0,0.0,1,0.0,-5.3
Trend + RSI Pullback,Nestle,1.23,21.99,121986.0,9.67,0.36,0.13,54.5,11,5.57,-2.23,2.73,15.0,2.03,16.2,1.38,0.14,2801.0,2371.0,169.0,176.0,70.0,13.0,0.239,10,60.0,2.43,0,0.0,0.0,1,0.0,-2.05
BB Squeeze Breakout,Tata Steel,4.98,183.82,283815.0,31.09,0.36,0.16,36.0,111,11.12,-4.19,1.38,18.0,1.32,21.5,5.68,0.69,43147.0,37318.0,1703.0,2782.0,1108.0,199.0,0.234,68,39.7,1.72,28,28.6,0.91,15,33.3,0.32
Trend + RSI Pullback,ITC,1.36,33.69,133693.0,13.44,0.35,0.1,55.6,18,5.74,-3.05,2.19,9.0,1.84,21.4,1.53,0.16,4735.0,4016.0,276.0,298.0,119.0,21.0,0.238,17,52.9,1.61,0,0.0,0.0,1,100.0,5.62
52-Week High Breakout,Divi's Lab,3.87,125.88,225884.0,33.72,0.35,0.11,41.0,39,14.36,-5.18,1.89,46.0,2.84,21.5,4.1,0.23,10877.0,9261.0,598.0,684.0,275.0,50.0,0.239,38,42.1,3.13,0,0.0,0.0,1,0.0,-8.3
Bollinger Band Bounce,ICICI Bank,2.73,78.15,178145.0,20.13,0.34,0.14,56.2,64,5.15,-4.16,1.52,9.0,1.08,21.4,3.24,0.51,19838.0,16978.0,982.0,1266.0,504.0,91.0,0.236,64,56.2,1.08,0,0.0,0.0,0,0.0,0.0
RSI Oversold Bounce,UPL,2.57,72.2,172202.0,21.02,0.34,0.12,53.8,26,9.25,-5.3,1.9,19.0,2.53,21.4,2.78,0.21,7771.0,6640.0,399.0,492.0,197.0,35.0,0.237,24,54.2,2.79,1,0.0,-5.3,1,100.0,4.21
BB Squeeze Breakout,Reliance,3.61,114.04,214039.0,38.04,0.33,0.09,40.7,108,7.58,-3.55,1.32,20.0,0.98,21.4,4.39,0.78,37186.0,31989.0,1657.0,2388.0,950.0,171.0,0.235,79,44.3,1.42,15,20.0,-1.54,14,42.9,1.17
Golden Cross,Bharti Airtel,1.97,51.91,151907.0,26.74,0.33,0.07,50.0,10,15.52,-4.29,3.32,63.0,5.61,21.4,2.04,0.08,2453.0,2074.0,153.0,151.0,62.0,11.0,0.244,10,50.0,5.61,0,0.0,0.0,0,0.0,0.0
BB Squeeze Breakout,JSW Steel,4.29,146.18,246180.0,33.0,0.33,0.13,35.7,126,11.62,-4.71,1.26,15.0,1.12,21.5,5.11,0.82,45296.0,39042.0,1933.0,2914.0,1159.0,209.0,0.235,78,42.3,1.51,33,24.2,0.24,15,26.7,1.04
ADX Breakout,Bajaj Auto,2.25,61.12,161120.0,31.69,0.33,0.07,31.8,44,10.59,-2.7,1.71,17.0,1.53,21.5,2.56,0.31,10912.0,9219.0,675.0,686.0,274.0,49.0,0.239,37,35.1,2.15,0,0.0,0.0,7,14.3,-1.77
RSI Oversold Bounce,HDFC Bank,1.82,47.2,147196.0,18.08,0.32,0.1,60.0,30,6.08,-5.3,1.58,23.0,1.53,21.5,2.09,0.27,8650.0,7375.0,460.0,549.0,219.0,39.0,0.237,29,58.6,1.2,1,100.0,10.97,0,0.0,0.0
52-Week High Breakout,Infosys,2.7,77.09,177086.0,29.68,0.32,0.09,46.2,26,10.04,-3.63,2.47,62.0,2.68,21.5,2.88,0.18,6668.0,5648.0,399.0,417.0,168.0,30.0,0.24,26,46.2,2.68,0,0.0,0.0,0,0.0,0.0
Bollinger Band Bounce,Kotak Bank,2.55,71.53,171529.0,23.22,0.32,0.11,55.8,52,5.65,-4.3,1.63,9.0,1.25,21.5,2.94,0.39,14521.0,12357.0,798.0,920.0,367.0,66.0,0.237,50,56.0,1.37,0,0.0,0.0,2,50.0,-1.78
Trend + RSI Pullback,Maruti,1.18,28.73,128726.0,13.12,0.32,0.09,50.0,18,5.76,-2.34,2.27,14.0,1.71,21.5,1.35,0.16,4498.0,3802.0,276.0,283.0,113.0,20.0,0.239,17,52.9,1.97,0,0.0,0.0,1,0.0,-2.79
Triple MA Momentum,Titan,1.8,46.65,146647.0,14.76,0.32,0.12,47.4,19,8.36,-2.98,2.39,26.0,2.39,21.5,1.96,0.16,4894.0,4146.0,291.0,307.0,123.0,22.0,0.24,18,50.0,2.72,0,0.0,0.0,1,0.0,-3.45
52-Week High Breakout,JSW Steel,3.29,100.21,200214.0,37.5,0.32,0.09,43.2,37,13.79,-5.8,1.52,34.0,2.67,21.5,3.6,0.31,13181.0,11361.0,568.0,844.0,337.0,61.0,0.236,37,43.2,2.67,0,0.0,0.0,0,0.0,0.0
Golden Cross,Coal India,1.99,33.32,133324.0,17.8,0.32,0.11,60.0,5,14.28,-3.89,4.43,68.0,7.01,14.6,2.07,0.07,1396.0,1189.0,77.0,87.0,35.0,6.0,0.243,4,75.0,10.59,0,0.0,0.0,1,0.0,-7.3
Trend + RSI Pullback,Coal India,0.88,13.69,113691.0,9.1,0.32,0.1,58.3,12,3.83,-2.5,2.11,11.0,1.19,14.6,1.05,0.17,2831.0,2384.0,184.0,178.0,71.0,13.0,0.239,10,60.0,1.49,0,0.0,0.0,2,50.0,-0.28
BB Squeeze Breakout,Britannia,3.66,116.03,216029.0,33.07,0.32,0.11,35.8,120,8.8,-3.48,1.36,20.0,0.92,21.5,4.41,0.75,36185.0,30922.0,1841.0,2308.0,918.0,165.0,0.238,88,37.5,1.32,19,26.3,-1.68,13,38.5,2.02
Bollinger Band Bounce,ITC,1.68,42.9,142896.0,19.47,0.31,0.09,58.3,36,4.9,-4.09,1.57,9.0,1.16,21.4,2.01,0.33,10319.0,8794.0,552.0,656.0,261.0,47.0,0.237,34,61.8,1.48,0,0.0,0.0,2,0.0,-4.3
RSI Oversold Bounce,Sun Pharma,2.16,58.06,158060.0,22.98,0.31,0.09,57.5,40,6.38,-5.3,1.58,18.0,1.42,21.5,2.47,0.31,10612.0,9003.0,614.0,670.0,267.0,48.0,0.238,38,57.9,1.57,1,0.0,-5.3,1,100.0,2.27
Bollinger Band Bounce,HCL Tech,2.29,62.53,162527.0,35.89,0.3,0.06,54.1,61,5.45,-4.3,1.3,10.0,0.97,21.5,2.95,0.66,23942.0,20713.0,936.0,1547.0,615.0,111.0,0.233,56,53.6,0.91,0,0.0,0.0,5,60.0,1.67
Bollinger Band Bounce,Power Grid,1.36,26.99,126986.0,13.69,0.3,0.1,66.7,24,3.58,-3.79,1.83,13.0,1.13,17.7,1.62,0.26,5864.0,4949.0,368.0,369.0,147.0,26.0,0.239,23,69.6,1.36,0,0.0,0.0,1,0.0,-4.3
Golden Cross,Tata Steel,1.41,35.07,135074.0,20.19,0.3,0.07,50.0,8,15.55,-5.58,2.15,28.0,4.99,21.5,1.5,0.08,2416.0,2066.0,123.0,152.0,61.0,11.0,0.24,8,50.0,4.99,0,0.0,0.0,0,0.0,0.0
Golden Cross,BPCL,1.87,48.67,148673.0,17.16,0.3,0.11,33.3,9,28.6,-5.08,2.54,44.0,6.14,21.4,1.94,0.07,2206.0,1865.0,138.0,136.0,55.0,10.0,0.245,7,42.9,9.0,0,0.0,0.0,2,0.0,-3.84
Golden Cross,HUL,1.59,40.19,140193.0,27.47,0.29,0.06,36.4,11,18.37,-4.2,1.94,73.0,4.01,21.5,1.7,0.11,3419.0,2928.0,169.0,216.0,87.0,16.0,0.239,11,36.4,4.01,0,0.0,0.0,0,0.0,0.0
BB Squeeze Breakout,HUL,2.97,87.52,187516.0,38.86,0.29,0.08,44.0,109,6.03,-3.35,1.25,22.0,0.78,21.5,3.94,0.97,41702.0,36037.0,1672.0,2693.0,1070.0,193.0,0.234,77,50.6,1.29,16,6.2,-2.83,16,50.0,1.94
Golden Cross,Tech Mahindra,1.63,35.47,135472.0,14.26,0.29,0.11,42.9,7,16.46,-3.04,4.03,53.0,5.32,18.8,1.71,0.07,1850.0,1571.0,107.0,115.0,47.0,8.0,0.242,6,50.0,6.4,0,0.0,0.0,1,0.0,-1.17
RSI Oversold Bounce,Grasim,1.98,52.33,152332.0,22.64,0.29,0.09,54.3,35,6.93,-4.97,1.55,27.0,1.49,21.4,2.27,0.29,9628.0,8187.0,537.0,609.0,243.0,44.0,0.237,32,56.2,1.8,3,33.3,-1.82,0,0.0,0.0
52-Week High Breakout,Grasim,2.42,66.96,166961.0,26.86,0.29,0.09,52.0,25,11.53,-6.25,1.76,50.0,3.0,21.4,2.62,0.2,7298.0,6229.0,383.0,462.0,185.0,33.0,0.239,25,52.0,3.0,0,0.0,0.0,0,0.0,0.0
RSI Oversold Bounce,SBI Life,2.2,18.14,118136.0,21.15,0.29,0.1,53.8,13,7.48,-5.3,1.59,33.0,1.58,7.7,2.53,0.33,2981.0,2505.0,199.0,186.0,74.0,13.0,0.24,12,58.3,2.15,0,0.0,0.0,1,0.0,-5.31
RSI Oversold Bounce,Wipro,1.6,40.6,140595.0,21.0,0.28,0.08,55.2,29,6.94,-5.3,1.55,18.0,1.45,21.5,1.84,0.24,7165.0,6052.0,445.0,450.0,180.0,32.0,0.239,25,56.0,1.98,3,33.3,-2.97,1,100.0,1.39
Stochastic Reversal,Titan,1.03,24.5,124501.0,14.06,0.28,0.07,37.9,29,4.9,-1.6,1.71,4.0,0.86,21.5,1.32,0.3,8047.0,6844.0,445.0,511.0,203.0,37.0,0.237,28,39.3,0.94,1,0.0,-1.36,0,0.0,0.0
Stochastic Reversal,Sun Pharma,1.1,26.52,126523.0,10.92,0.28,0.1,40.6,32,4.58,-1.7,1.82,4.0,0.85,21.5,1.38,0.28,7766.0,6550.0,491.0,489.0,195.0,35.0,0.238,26,34.6,0.59,2,50.0,-0.23,4,75.0,3.12
Stochastic Reversal,HDFC Life,0.79,6.13,106128.0,6.0,0.28,0.13,40.0,15,2.51,-0.91,1.75,4.0,0.46,7.5,1.23,0.44,3541.0,2981.0,230.0,223.0,89.0,16.0,0.238,13,38.5,-0.09,2,50.0,4.0,0,0.0,0.0
RSI Oversold Bounce,Bajaj Finserv,2.02,53.58,153581.0,22.72,0.27,0.09,47.4,38,9.01,-5.3,1.39,19.0,1.48,21.4,2.36,0.34,11413.0,9752.0,583.0,727.0,290.0,52.0,0.236,37,48.6,1.66,1,0.0,-5.3,0,0.0,0.0
ADX Breakout,Divi's Lab,1.87,48.67,148671.0,32.64,0.27,0.06,38.6,57,5.59,-2.11,1.7,14.0,0.86,21.5,2.27,0.4,13035.0,10950.0,874.0,817.0,325.0,59.0,0.24,55,38.2,0.94,0,0.0,0.0,2,50.0,-1.16
Trend + RSI Pullback,Divi's Lab,1.08,26.0,126002.0,14.14,0.27,0.08,28.6,14,13.61,-2.57,1.92,21.0,2.05,21.5,1.21,0.13,3552.0,3006.0,215.0,223.0,89.0,16.0,0.239,14,28.6,2.05,0,0.0,0.0,0,0.0,0.0
Trend + RSI Pullback,IndusInd Bank,1.0,23.79,123787.0,7.12,0.27,0.14,44.4,9,7.0,-0.89,5.49,12.0,2.62,21.4,1.09,0.09,2429.0,2064.0,138.0,153.0,61.0,11.0,0.239,9,44.4,2.62,0,0.0,0.0,0,0.0,0.0
BB Squeeze Breakout,Bajaj Auto,2.79,80.28,180282.0,45.59,0.27,0.06,42.5,113,6.82,-3.69,1.24,21.0,0.77,21.5,3.67,0.89,36405.0,31214.0,1733.0,2332.0,927.0,167.0,0.235,75,45.3,1.95,17,23.5,-3.2,21,47.6,-0.2
Bollinger Band Bounce,TCS,1.53,38.5,138498.0,20.68,0.26,0.07,62.0,50,3.89,-4.3,1.39,11.0,0.77,21.5,1.99,0.46,14236.0,12126.0,767.0,906.0,360.0,65.0,0.236,49,63.3,0.88,0,0.0,0.0,1,0.0,-4.31
52-Week High Breakout,TCS,2.27,61.89,161891.0,23.19,0.26,0.1,54.2,24,8.64,-4.68,2.12,58.0,2.53,21.5,2.45,0.18,6179.0,5235.0,368.0,388.0,155.0,28.0,0.24,24,54.2,2.53,0,0.0,0.0,0,0.0,0.0
Golden Cross,Infosys,1.47,36.88,136882.0,15.31,0.26,0.1,50.0,8,16.92,-6.69,2.39,42.0,5.11,21.5,1.54,0.06,1860.0,1566.0,123.0,115.0,47.0,8.0,0.244,8,50.0,5.11,0,0.0,0.0,0,0.0,0.0
ADX Breakout,Eicher Motors,1.86,48.61,148610.0,25.78,0.26,0.07,40.3,67,5.81,-2.51,1.44,11.0,0.84,21.4,2.39,0.53,17385.0,14727.0,1028.0,1100.0,437.0,79.0,0.238,65,40.0,0.84,0,0.0,0.0,2,50.0,0.98
RSI Oversold Bounce,Eicher Motors,2.11,56.35,156345.0,25.4,0.26,0.08,52.8,53,6.67,-5.09,1.42,15.0,1.12,21.4,2.49,0.39,13277.0,11223.0,813.0,836.0,333.0,60.0,0.239,49,57.1,1.54,2,0.0,-5.3,2,0.0,-2.69
ADX Breakout,Britannia,1.7,43.59,143587.0,18.56,0.26,0.09,36.4,55,6.78,-2.55,1.4,13.0,0.84,21.5,2.18,0.48,15372.0,13080.0,844.0,977.0,388.0,70.0,0.237,52,34.6,0.61,1,0.0,-2.9,2,100.0,8.64
RSI Oversold Bounce,TCS,1.34,33.18,133181.0,16.86,0.25,0.08,60.5,38,5.0,-5.3,1.4,16.0,0.93,21.5,1.66,0.32,9314.0,7861.0,583.0,586.0,233.0,42.0,0.239,35,62.9,1.07,0,0.0,0.0,3,33.3,-0.62
Golden Cross,Kotak Bank,1.55,39.03,139030.0,18.55,0.25,0.08,50.0,12,11.55,-4.88,2.03,76.0,3.34,21.5,1.67,0.12,3550.0,3033.0,184.0,224.0,90.0,16.0,0.239,12,50.0,3.34,0,0.0,0.0,0,0.0,0.0
BB Squeeze Breakout,Asian Paints,2.47,68.6,168602.0,30.8,0.25,0.08,37.9,116,8.29,-3.91,1.22,20.0,0.72,21.4,3.24,0.78,29761.0,25192.0,1779.0,1882.0,748.0,135.0,0.238,93,36.6,0.32,12,25.0,-0.31,11,63.6,5.19
MACD Trend,Maruti,2.07,55.12,155120.0,36.57,0.25,0.06,42.6,101,5.18,-2.82,1.24,14.0,0.59,21.5,2.98,0.91,32670.0,28016.0,1549.0,2095.0,832.0,150.0,0.234,76,40.8,0.32,14,28.6,-0.74,11,72.7,4.08
RSI Oversold Bounce,Dr. Reddy's,1.74,44.79,144794.0,22.81,0.25,0.08,52.8,36,7.22,-5.3,1.41,21.0,1.31,21.4,2.06,0.32,10083.0,8582.0,552.0,640.0,255.0,46.0,0.237,30,53.3,1.64,4,25.0,-2.7,2,100.0,4.3
BB Squeeze Breakout,IndusInd Bank,2.98,87.68,187680.0,46.76,0.25,0.06,36.6,123,10.01,-4.45,1.21,16.0,0.84,21.4,3.83,0.85,36178.0,30872.0,1887.0,2306.0,917.0,165.0,0.237,74,35.1,0.14,29,20.7,-1.19,20,65.0,6.38
Bollinger Band Bounce,Asian Paints,1.45,36.11,136111.0,19.62,0.24,0.07,56.9,58,4.43,-4.3,1.29,9.0,0.67,21.4,1.96,0.52,15686.0,13320.0,890.0,995.0,396.0,71.0,0.237,57,56.1,0.68,0,0.0,0.0,1,100.0,0.01
MACD Trend,Nestle,1.79,33.28,133281.0,21.33,0.24,0.08,43.9,66,4.68,-2.67,1.3,16.0,0.56,16.2,2.55,0.76,17049.0,14437.0,1012.0,1079.0,429.0,77.0,0.237,59,42.4,0.65,3,33.3,-1.14,4,75.0,0.58
52-Week High Breakout,Bajaj Finserv,2.37,65.41,165413.0,42.95,0.24,0.06,48.7,39,10.89,-6.34,1.47,34.0,2.05,21.4,2.65,0.27,9678.0,8177.0,598.0,608.0,243.0,44.0,0.24,35,51.4,2.64,0,0.0,0.0,4,25.0,-3.11
Bollinger Band Bounce,Adani Ports,1.61,32.22,132224.0,21.55,0.24,0.07,50.0,38,6.16,-4.3,1.35,8.0,0.93,17.5,2.03,0.42,9914.0,8402.0,583.0,627.0,250.0,45.0,0.238,38,50.0,0.93,0,0.0,0.0,0,0.0,0.0
ADX Breakout,SBI,1.66,42.29,142291.0,27.41,0.23,0.06,39.3,56,5.69,-2.36,1.55,13.0,0.8,21.4,2.07,0.41,12991.0,10923.0,859.0,815.0,324.0,58.0,0.239,49,42.9,1.15,0,0.0,0.0,7,14.3,-1.65
Golden Cross,Asian Paints,0.91,21.43,121434.0,18.88,0.23,0.05,50.0,6,11.51,-3.96,2.47,66.0,3.77,21.4,0.97,0.06,1641.0,1396.0,92.0,103.0,41.0,7.0,0.24,6,50.0,3.77,0,0.0,0.0,0,0.0,0.0
BB Squeeze Breakout,Maruti,2.25,61.08,161078.0,51.28,0.23,0.04,36.7,109,8.74,-3.91,1.23,21.0,0.73,21.5,2.97,0.72,26208.0,22089.0,1672.0,1650.0,656.0,118.0,0.24,77,37.7,1.19,18,22.2,-2.55,14,50.0,2.41
52-Week High Breakout,UltraCemco,1.98,52.26,152265.0,31.29,0.23,0.06,41.2,34,10.65,-4.4,1.48,40.0,1.8,21.4,2.27,0.29,9663.0,8232.0,522.0,613.0,244.0,44.0,0.237,34,41.2,1.8,0,0.0,0.0,0,0.0,0.0
MACD Trend,Tech Mahindra,1.99,44.6,144604.0,28.38,0.23,0.07,40.2,87,5.81,-2.91,1.28,12.0,0.6,18.8,2.75,0.76,21736.0,18367.0,1335.0,1373.0,545.0,98.0,0.238,66,34.8,0.51,11,36.4,-0.9,10,80.0,2.82
Trend + RSI Pullback,Bajaj Finserv,1.06,25.5,125502.0,10.01,0.23,0.11,50.0,16,5.46,-2.23,2.21,7.0,1.61,21.4,1.22,0.16,4307.0,3657.0,245.0,272.0,109.0,20.0,0.238,14,50.0,1.6,0,0.0,0.0,2,50.0,1.74
Trend + RSI Pullback,Grasim,0.72,16.75,116748.0,10.54,0.23,0.07,52.9,17,4.06,-2.36,1.85,9.0,1.04,21.4,0.89,0.17,4173.0,3523.0,261.0,263.0,105.0,19.0,0.238,15,53.3,0.74,0,0.0,0.0,2,50.0,3.33
Golden Cross,HDFC Bank,1.14,27.51,127510.0,14.79,0.22,0.08,71.4,7,7.51,-4.53,3.47,95.0,4.07,21.5,1.2,0.06,1727.0,1460.0,107.0,107.0,43.0,8.0,0.242,7,71.4,4.07,0,0.0,0.0,0,0.0,0.0
RSI Oversold Bounce,Infosys,1.35,33.32,133321.0,17.03,0.22,0.08,61.5,26,5.46,-5.3,1.52,24.0,1.32,21.5,1.59,0.25,7091.0,6026.0,399.0,449.0,179.0,32.0,0.238,22,63.6,1.81,3,33.3,-2.51,1,100.0,2.06
