strategy,instrument,cagr,total_return,final_value,max_dd,sharpe,calmar,win_rate,total_trades,avg_win,avg_loss,profit_factor,avg_duration,expectancy,years,gross_cagr,cagr_drag,total_costs,total_stt,total_dp,total_stamp,total_txn,total_gst,avg_cost_pct,bull_trades,bull_wr,bull_avg_pnl,bear_trades,bear_wr,bear_avg_pnl,sideways_trades,sideways_wr,sideways_avg_pnl
52-Week High Breakout,UPL,-3.64,-54.84,45159.0,63.65,-0.23,-0.06,27.9,43,8.55,-5.64,0.47,25.0,-1.68,21.4,-3.09,0.55,5882.0,4697.0,660.0,356.0,140.0,25.0,0.251,42,28.6,-1.52,0,0.0,0.0,1,0.0,-8.3
Triple MA Momentum,Infosys,-1.12,-21.53,78472.0,27.49,-0.24,-0.04,25.0,12,1.64,-3.34,0.17,23.0,-2.1,21.5,-0.98,0.14,2494.0,2078.0,184.0,157.0,62.0,11.0,0.238,11,27.3,-2.12,0,0.0,0.0,1,0.0,-1.87
MACD Trend,Kotak Bank,-3.09,-49.0,50995.0,56.35,-0.24,-0.05,35.4,113,3.46,-2.75,0.66,12.0,-0.55,21.5,-1.66,1.43,18770.0,15332.0,1733.0,1152.0,455.0,82.0,0.245,89,34.8,-0.46,6,16.7,-2.29,18,44.4,-0.42
Bollinger Band Bounce,Nestle,-1.73,-24.57,75426.0,33.27,-0.24,-0.05,48.9,47,3.16,-4.14,0.7,10.0,-0.56,16.2,-1.04,0.68,8957.0,7412.0,721.0,557.0,220.0,40.0,0.242,45,51.1,-0.4,0,0.0,0.0,2,0.0,-4.31
Stochastic Reversal,Adani Ent.,-0.81,-16.06,83937.0,22.43,-0.24,-0.04,15.0,20,8.27,-2.45,0.56,3.0,-0.84,21.5,-0.59,0.22,4141.0,3450.0,307.0,260.0,102.0,18.0,0.239,11,27.3,0.82,8,0.0,-2.77,1,0.0,-3.79
Triple MA Momentum,JSW Steel,-1.43,-26.56,73435.0,40.74,-0.24,-0.04,22.2,18,4.7,-3.55,0.37,16.0,-1.72,21.5,-1.21,0.22,3614.0,3002.0,276.0,227.0,89.0,16.0,0.239,18,22.2,-1.72,0,0.0,0.0,0,0.0,0.0
Golden Cross,Cipla,-1.7,-30.75,69251.0,33.05,-0.24,-0.05,35.7,14,3.01,-5.77,0.28,37.0,-2.63,21.5,-1.52,0.17,2674.0,2212.0,215.0,168.0,66.0,12.0,0.239,13,38.5,-2.27,0,0.0,0.0,1,0.0,-7.3
52-Week High Breakout,ICICI Bank,-3.16,-49.74,50258.0,51.26,-0.25,-0.06,35.9,39,5.53,-5.67,0.48,33.0,-1.65,21.4,-2.64,0.52,6095.0,4944.0,598.0,374.0,147.0,26.0,0.245,39,35.9,-1.65,0,0.0,0.0,0,0.0,0.0
MACD Trend,ITC,-3.07,-48.73,51267.0,69.38,-0.25,-0.04,33.3,102,4.29,-3.05,0.7,12.0,-0.6,21.4,-1.64,1.43,18873.0,15577.0,1565.0,1170.0,463.0,83.0,0.244,80,35.0,-0.41,13,23.1,-2.07,9,33.3,-0.22
Trend + RSI Pullback,Axis Bank,-1.13,-21.63,78371.0,30.81,-0.25,-0.04,27.3,22,4.12,-3.05,0.44,12.0,-1.09,21.4,-0.9,0.23,4027.0,3320.0,337.0,250.0,99.0,18.0,0.242,19,31.6,-0.88,0,0.0,0.0,3,0.0,-2.45
