date,equity
2021-03-31,313203.72
2021-04-01,313899.33
2021-04-05,313044.56
2021-04-06,313023.78
2021-04-07,314128.26
2021-04-08,314462.43
2021-04-09,314624.88
2021-04-12,311875.97
2021-04-13,312369.95
2021-04-15,312461.22
2021-04-16,313217.67
2021-04-19,311546.59
2021-04-20,311474.11
2021-04-22,311711.2
2021-04-23,311571.93
2021-04-26,312277.39
2021-04-27,313031.24
2021-04-28,313925.87
2021-04-29,314017.33
2021-04-30,313360.7
2021-05-03,313310.19
2021-05-04,312942.96
2021-05-05,313623.09
2021-05-06,313676.97
2021-05-07,314059.17
2021-05-10,308755.1
2021-05-11,308517.19
2021-05-12,314568.79
2021-05-14,314153.76
2021-05-17,315408.18
2021-05-18,316239.11
2021-05-19,316216.1
2021-05-20,315876.95
2021-05-21,316789.16
2021-05-24,317318.06
2021-05-25,317347.52
2021-05-26,317614.05
2021-05-27,317890.06
2021-05-28,318149.17
2021-05-31,318397.28
2021-06-01,318475.88
2021-06-02,318736.29
2021-06-03,319343.07
2021-06-04,319504.78
2021-06-07,320319.75
2021-06-08,320228.21
2021-06-09,319944.05
2021-06-10,320528.56
2021-06-11,320745.97
2021-06-14,320833.9
2021-06-15,321368.5
2021-06-16,320969.3
2021-06-17,314380.32
2021-06-18,314122.27
2021-06-21,320538.53
2021-06-22,320894.56
2021-06-23,320572.02
2021-06-24,320891.55
2021-06-25,321561.56
2021-06-28,321971.5
2021-06-29,321771.21
2021-06-30,321563.16
2021-07-01,321585.24
2021-07-02,321655.96
2021-07-05,322365.53
2021-07-06,322242.36
2021-07-07,322606.66
2021-07-08,321802.67
2021-07-09,321605.07
2021-07-12,321964.86
2021-07-13,322465.87
2021-07-14,322706.56
2021-07-15,322727.83
2021-07-16,322800.24
2021-07-19,322112.37
2021-07-20,321223.42
2021-07-22,322087.63
2021-07-23,322544.8
2021-07-26,322623.41
2021-07-27,321992.93
2021-07-28,321361.82
2021-07-29,321764.22
2021-07-30,321989.99
2021-08-02,322556.61
2021-08-03,322913.95
2021-08-04,323341.91
2021-08-05,323308.56
2021-08-06,323537.14
2021-08-09,323136.41
2021-08-10,322697.78
2021-08-11,322607.31
2021-08-12,323006.59
2021-08-13,323408.49
2021-08-16,323301.21
2021-08-17,323254.15
2021-08-18,323137.4
2021-08-20,322084.28
2021-08-23,322132.14
2021-08-24,322865.99
2021-08-25,323218.16
2021-08-26,323072.52
2021-08-27,323649.78
2021-08-30,324913.42
2021-08-31,325629.33
2021-09-01,326088.21
2021-09-02,326634.48
2021-09-03,326829.73
2021-09-06,327113.41
2021-09-07,326892.6
2021-09-08,327026.72
2021-09-09,327230.53
2021-09-13,320888.88
2021-09-14,321285.81
2021-09-15,322169.2
2021-09-16,323017.41
2021-09-17,322601.13
2021-09-20,321288.69
2021-09-21,321648.16
2021-09-22,322001.8
2021-09-23,322951.0
2021-09-24,322609.12
2021-09-27,322474.56
2021-09-28,322388.43
2021-09-29,322600.06
2021-09-30,322232.57
