date,code,qty,avg,fill,sell_value,charges,growth,pnl_pct,ticket_after
2021-02-11,NSE:MIDSELIETF,758,8.194,8.7153,6606.2,22.18,372.97,0.0636,6301.94
2021-02-12,NSE:MOM100,275,22.49,23.8961,6571.43,22.15,364.53,0.0625,6309.23
2021-02-17,NSE:ICICIB22,173,34.64,37.0329,6406.69,21.98,391.99,0.0691,6317.07
2021-03-03,NSE:MOM100,262,24.07,25.8341,6768.53,22.35,439.84,0.0733,6325.87
2021-04-08,NSE:ALPL30IETF,450,13.737,14.6553,6594.89,22.17,391.06,0.0668,6333.69
2021-04-09,NSE:NV20IETF,816,7.638,8.1379,6640.53,22.22,385.7,0.0654,6341.41
2021-05-12,NSE:CPSEETF,251,23.82,25.4745,6394.1,21.96,393.32,0.0695,6349.27
2021-05-31,NSE:NIFTYBEES,40,156.02,166.6232,6664.93,22.25,401.88,0.068,6357.31
2021-06-01,NSE:LOWVOLIETF,522,11.922,12.6733,6615.46,22.19,369.99,0.063,6364.71
2021-06-03,NSE:MOM100,243,25.97,27.7123,6734.09,22.32,401.06,0.0671,6372.73
2021-06-07,NSE:ICICIB22,166,37.9,40.3796,6703.01,22.28,389.33,0.0654,6380.52
2021-06-08,NSE:MIDSELIETF,720,8.743,9.2967,6693.62,22.27,376.39,0.0633,6388.05
2021-06-10,NSE:NV20IETF,805,7.869,8.3796,6745.58,22.33,388.7,0.0649,6395.82
2021-06-11,NSE:CPSEETF,254,24.91,26.7832,6802.93,22.39,453.4,0.0752,6404.89
2021-06-15,NSE:ALPL30IETF,427,14.823,15.8881,6784.22,22.37,432.43,0.0719,6413.54
2021-06-24,NSE:MAFANG,130,49.09,52.2477,6792.2,22.38,388.12,0.0643,6421.3
2021-06-25,NSE:MON100,63,98.567,105.2347,6629.79,22.21,397.86,0.0676,6429.26
2021-07-26,NSE:CONSUMBEES,94,66.29,70.979,6672.03,22.25,418.52,0.0707,6437.63
2021-08-02,NSE:MOM100,230,27.7,29.6703,6824.17,22.41,430.76,0.0711,6446.24
2021-08-05,NSE:HDFCSENSEX,115,54.2729,57.96,6665.4,22.25,401.77,0.0679,6454.28
2021-08-13,NSE:NV20IETF,757,8.438,9.036,6840.25,22.43,430.26,0.0709,6462.88
2021-08-16,NSE:NIFTYBEES,38,166.88,178.4214,6780.01,22.36,416.21,0.0692,6471.21
2021-08-17,NSE:LOWVOLIETF,503,12.629,13.4955,6788.24,22.37,413.48,0.0686,6479.48
