strategy,entry_date,exit_date,entry_price,exit_price,direction,lot_size,gross_pnl,costs,net_pnl,pnl_pct,reason,regime,duration,option_type,strike,expiry,entry_prem,exit_prem,iv_entry,premium_collected,premium_at_exit,strike_ce,strike_pe,net_premium,cost_at_exit,max_loss,strike_long,strike_short,debit_paid,exit_value
F1 Trend Futures,2020-08-21,2020-08-27,11371.6,11559.25,LONG,25,4691.26,222.85,4468.41,1.57,Expiry Rollover,bull,6,,,,,,,,,,,,,,,,,
F1 Trend Futures,2020-08-27,2020-09-24,11559.25,10805.55,LONG,25,-18842.5,211.16,-19053.67,-6.59,Expiry Rollover,bull,28,,,,,,,,,,,,,,,,,
F1 Trend Futures,2020-09-24,2020-10-29,10805.55,11670.8,LONG,25,21631.25,224.58,21406.67,7.92,Expiry Rollover,bull,35,,,,,,,,,,,,,,,,,
F1 Trend Futures,2020-10-29,2020-11-26,11670.8,12987.0,LONG,25,32905.0,244.99,32660.02,11.19,Expiry Rollover,bull,28,,,,,,,,,,,,,,,,,
F1 Trend Futures,2020-11-26,2020-12-31,12987.0,13981.75,LONG,25,24868.75,260.41,24608.34,7.58,Expiry Rollover,bull,35,,,,,,,,,,,,,,,,,
F1 Trend Futures,2020-12-31,2021-01-28,13981.75,13817.55,LONG,25,-4105.0,257.87,-4362.87,-1.25,Expiry Rollover,bull,28,,,,,,,,,,,,,,,,,
F1 Trend Futures,2021-01-28,2021-02-25,13817.55,15097.35,LONG,25,31995.0,277.71,31717.28,9.18,Expiry Rollover,bull,28,,,,,,,,,,,,,,,,,
F1 Trend Futures,2021-02-25,2021-03-25,15097.35,14324.9,LONG,25,-19311.23,265.74,-19576.97,-5.19,Expiry Rollover,bull,28,,,,,,,,,,,,,,,,,
F1 Trend Futures,2021-03-25,2021-04-29,14324.9,14894.9,LONG,25,14250.0,274.58,13975.42,3.9,Expiry Rollover,bull,35,,,,,,,,,,,,,,,,,
F1 Trend Futures,2021-04-29,2021-05-27,14894.9,15337.85,LONG,25,11073.73,281.44,10792.29,2.9,Expiry Rollover,bull,28,,,,,,,,,,,,,,,,,
F1 Trend Futures,2021-05-27,2021-06-24,15337.85,15790.45,LONG,25,11315.01,288.46,11026.55,2.88,Expiry Rollover,bull,28,,,,,,,,,,,,,,,,,
F1 Trend Futures,2021-06-24,2021-07-29,15790.45,15778.45,LONG,25,-300.0,288.28,-588.28,-0.15,Expiry Rollover,bull,35,,,,,,,,,,,,,,,,,
F1 Trend Futures,2021-07-29,2021-08-26,15778.45,16636.9,LONG,25,21461.25,301.59,21159.67,5.36,Expiry Rollover,bull,28,,,,,,,,,,,,,,,,,
F1 Trend Futures,2021-08-26,2021-09-30,16636.9,17618.15,LONG,25,24531.25,316.8,24214.45,5.82,Expiry Rollover,bull,35,,,,,,,,,,,,,,,,,
F1 Trend Futures,2021-09-30,2021-10-28,17618.15,17857.25,LONG,25,5977.49,320.51,5656.98,1.28,Expiry Rollover,bull,28,,,,,,,,,,,,,,,,,
F1 Trend Futures,2021-10-28,2021-11-25,17857.25,17536.25,LONG,25,-8025.0,315.53,-8340.53,-1.87,Expiry Rollover,bull,28,,,,,,,,,,,,,,,,,
F1 Trend Futures,2021-11-25,2021-12-30,17536.25,17203.95,LONG,25,-8307.52,310.38,-8617.9,-1.97,Expiry Rollover,bull,35,,,,,,,,,,,,,,,,,
F1 Trend Futures,2021-12-30,2022-01-27,17203.95,17110.15,LONG,25,-2344.97,308.93,-2653.9,-0.62,Expiry Rollover,bull,28,,,,,,,,,,,,,,,,,
F1 Trend Futures,2022-01-27,2022-02-24,17110.15,16247.95,LONG,25,-21555.0,295.56,-21850.56,-5.11,Expiry Rollover,bull,28,,,,,,,,,,,,,,,,,
F1 Trend Futures,2022-02-24,2022-03-31,16247.95,17464.75,LONG,25,30420.0,314.43,30105.57,7.41,Expiry Rollover,bull,35,,,,,,,,,,,,,,,,,
F1 Trend Futures,2022-03-31,2022-04-18,17464.75,17173.65,LONG,25,-7277.49,309.91,-7587.4,-1.74,Signal Flip,bull,18,,,,,,,,,,,,,,,,,
F1 Trend Futures,2022-04-18,2022-04-28,17173.65,17245.05,SHORT,25,-1785.01,311.02,-2096.03,-0.49,Expiry Rollover,sideways,10,,,,,,,,,,,,,,,,,
F1 Trend Futures,2022-04-28,2022-05-26,17245.05,16170.15,SHORT,25,26872.51,294.35,26578.16,6.16,Expiry Rollover,sideways,28,,,,,,,,,,,,,,,,,
F1 Trend Futures,2022-05-26,2022-06-30,16170.15,15780.25,SHORT,25,9747.51,288.3,9459.21,2.34,Expiry Rollover,sideways,35,,,,,,,,,,,,,,,,,
F1 Trend Futures,2022-06-30,2022-07-28,15780.25,16929.6,SHORT,25,-28733.74,306.13,-29039.87,-7.36,Expiry Rollover,sideways,28,,,,,,,,,,,,,,,,,
F1 Trend Futures,2022-07-28,2022-08-25,16929.6,17522.45,SHORT,25,-14821.24,315.32,-15136.56,-3.58,Expiry Rollover,sideways,28,,,,,,,,,,,,,,,,,
F1 Trend Futures,2022-08-25,2022-09-09,17522.45,17833.35,SHORT,25,-7772.51,320.14,-8092.65,-1.85,Signal Flip,sideways,15,,,,,,,,,,,,,,,,,
F1 Trend Futures,2022-09-09,2022-09-29,17833.35,16818.1,LONG,25,-25381.25,304.4,-25685.65,-5.76,Expiry Rollover,bull,20,,,,,,,,,,,,,,,,,
F1 Trend Futures,2022-09-29,2022-10-27,16818.1,17736.95,LONG,25,22971.24,318.65,22652.59,5.39,Expiry Rollover,bull,28,,,,,,,,,,,,,,,,,
F1 Trend Futures,2022-10-27,2022-11-24,17736.95,18484.1,LONG,25,18678.76,330.23,18348.53,4.14,Expiry Rollover,bull,28,,,,,,,,,,,,,,,,,
F1 Trend Futures,2022-11-24,2022-12-29,18484.1,18191.0,LONG,25,-7327.49,325.69,-7653.18,-1.66,Expiry Rollover,bull,35,,,,,,,,,,,,,,,,,
F1 Trend Futures,2022-12-29,2023-01-25,18191.0,17891.95,LONG,25,-7476.27,321.05,-7797.32,-1.71,Expiry Rollover,bull,27,,,,,,,,,,,,,,,,,
F1 Trend Futures,2023-01-25,2023-02-23,17891.95,17511.25,LONG,25,-9517.48,315.15,-9832.63,-2.2,Expiry Rollover,bull,29,,,,,,,,,,,,,,,,,
F1 Trend Futures,2023-02-23,2023-03-29,17511.25,17080.7,LONG,25,-10763.77,308.47,-11072.24,-2.53,Expiry Rollover,bull,34,,,,,,,,,,,,,,,,,
F1 Trend Futures,2023-03-29,2023-04-10,17080.7,17624.05,LONG,25,13583.79,316.9,13266.89,3.11,Signal Flip,bull,12,,,,,,,,,,,,,,,,,
F1 Trend Futures,2023-04-10,2023-04-27,17624.05,17915.05,SHORT,25,-7275.0,321.41,-7596.41,-1.72,Expiry Rollover,sideways,17,,,,,,,,,,,,,,,,,
F1 Trend Futures,2023-04-27,2023-05-25,17915.05,18321.15,SHORT,25,-10152.49,327.71,-10480.2,-2.34,Expiry Rollover,sideways,28,,,,,,,,,,,,,,,,,
F1 Trend Futures,2023-05-25,2023-06-01,18321.15,18487.75,SHORT,25,-4164.99,330.29,-4495.28,-0.98,Signal Flip,sideways,7,,,,,,,,,,,,,,,,,
F1 Trend Futures,2023-06-01,2023-06-30,18487.75,19189.05,LONG,25,17532.52,341.16,17191.35,3.72,Expiry Rollover,bull,29,,,,,,,,,,,,,,,,,
F1 Trend Futures,2023-06-30,2023-07-27,19189.05,19659.9,LONG,25,11771.24,348.47,11422.77,2.38,Expiry Rollover,bull,27,,,,,,,,,,,,,,,,,
F1 Trend Futures,2023-07-27,2023-08-31,19659.9,19253.8,LONG,25,-10152.49,342.17,-10494.66,-2.14,Expiry Rollover,bull,35,,,,,,,,,,,,,,,,,
F1 Trend Futures,2023-08-31,2023-09-28,19253.8,19523.55,LONG,25,6743.75,346.35,6397.4,1.33,Expiry Rollover,bull,28,,,,,,,,,,,,,,,,,
F1 Trend Futures,2023-09-28,2023-10-26,19523.55,18857.25,LONG,25,-16657.52,336.02,-16993.54,-3.48,Expiry Rollover,bull,28,,,,,,,,,,,,,,,,,
F1 Trend Futures,2023-10-26,2023-11-30,18857.25,20133.15,LONG,25,31897.51,355.8,31541.71,6.69,Expiry Rollover,bull,35,,,,,,,,,,,,,,,,,
F1 Trend Futures,2023-11-30,2023-12-28,20133.15,21778.7,LONG,25,41138.72,381.32,40757.4,8.1,Expiry Rollover,bull,28,,,,,,,,,,,,,,,,,
F1 Trend Futures,2023-12-28,2024-01-25,21778.7,21352.6,LONG,25,-10652.49,374.71,-11027.2,-2.03,Expiry Rollover,bull,28,,,,,,,,,,,,,,,,,
F1 Trend Futures,2024-01-25,2024-02-29,21352.6,21982.8,LONG,25,15755.03,384.49,15370.54,2.88,Expiry Rollover,bull,35,,,,,,,,,,,,,,,,,
F1 Trend Futures,2024-02-29,2024-03-28,21982.8,22326.9,LONG,25,8602.49,389.82,8212.67,1.49,Expiry Rollover,bull,28,,,,,,,,,,,,,,,,,
F1 Trend Futures,2024-03-28,2024-04-25,22326.9,22570.35,LONG,25,6086.23,393.6,5692.63,1.02,Expiry Rollover,bull,28,,,,,,,,,,,,,,,,,
F1 Trend Futures,2024-04-25,2024-05-30,22570.35,22488.65,LONG,25,-2042.48,392.33,-2434.81,-0.43,Expiry Rollover,bull,35,,,,,,,,,,,,,,,,,
F1 Trend Futures,2024-05-30,2024-06-27,22488.65,24044.5,LONG,25,38896.24,416.46,38479.78,6.84,Expiry Rollover,bull,28,,,,,,,,,,,,,,,,,
F1 Trend Futures,2024-06-27,2024-07-25,24044.5,24406.1,LONG,25,9039.99,422.07,8617.92,1.43,Expiry Rollover,bull,28,,,,,,,,,,,,,,,,,
F1 Trend Futures,2024-07-25,2024-08-29,24406.1,25151.95,LONG,25,18646.24,433.63,18212.61,2.98,Expiry Rollover,bull,35,,,,,,,,,,,,,,,,,
F1 Trend Futures,2024-08-29,2024-09-26,25151.95,26216.05,LONG,25,26602.54,450.13,26152.41,4.16,Expiry Rollover,bull,28,,,,,,,,,,,,,,,,,
F1 Trend Futures,2024-09-26,2024-10-31,26216.05,24205.35,LONG,25,-50267.53,418.95,-50686.48,-7.73,Expiry Rollover,bull,35,,,,,,,,,,,,,,,,,
F1 Trend Futures,2024-10-31,2024-11-28,24205.35,23914.15,LONG,25,-7279.98,414.44,-7694.42,-1.27,Expiry Rollover,bull,28,,,,,,,,,,,,,,,,,
F1 Trend Futures,2024-11-28,2024-12-26,23914.15,23750.2,LONG,25,-4098.78,411.89,-4510.67,-0.75,Expiry Rollover,bull,28,,,,,,,,,,,,,,,,,
F1 Trend Futures,2024-12-26,2025-01-17,23750.2,23203.2,LONG,25,-13675.0,403.41,-14078.41,-2.37,Signal Flip,bull,22,,,,,,,,,,,,,,,,,
F1 Trend Futures,2025-01-17,2025-01-30,23203.2,23249.5,SHORT,25,-1157.52,404.13,-1561.65,-0.27,Expiry Rollover,bear,13,,,,,,,,,,,,,,,,,
F1 Trend Futures,2025-01-30,2025-02-27,23249.5,22545.05,SHORT,25,17611.23,393.21,17218.02,2.96,Expiry Rollover,bear,28,,,,,,,,,,,,,,,,,
F1 Trend Futures,2025-02-27,2025-03-27,22545.05,23591.95,SHORT,25,-26172.46,409.44,-26581.9,-4.72,Expiry Rollover,bear,28,,,,,,,,,,,,,,,,,
F1 Trend Futures,2025-03-27,2025-04-24,23591.95,24246.7,SHORT,25,-16368.75,419.59,-16788.34,-2.85,Expiry Rollover,bear,28,,,,,,,,,,,,,,,,,
F1 Trend Futures,2025-04-24,2025-05-29,24246.7,24833.6,SHORT,25,-14672.51,428.69,-15101.2,-2.49,Expiry Rollover,bear,35,,,,,,,,,,,,,,,,,
F1 Trend Futures,2025-05-29,2025-06-04,24833.6,24620.2,SHORT,25,5335.01,425.39,4909.62,0.79,Signal Flip,bear,6,,,,,,,,,,,,,,,,,
F1 Trend Futures,2025-06-04,2025-06-26,24620.2,25549.0,LONG,25,23220.02,439.79,22780.23,3.7,Expiry Rollover,bull,22,,,,,,,,,,,,,,,,,
F1 Trend Futures,2025-06-26,2025-07-31,25549.0,24768.35,LONG,75,-58548.78,1195.85,-59744.63,-3.12,Expiry Rollover,bull,35,,,,,,,,,,,,,,,,,
F1 Trend Futures,2025-07-31,2025-08-28,24768.35,24500.9,LONG,75,-20058.69,1183.41,-21242.1,-1.14,Expiry Rollover,bull,28,,,,,,,,,,,,,,,,,
F1 Trend Futures,2025-08-28,2025-09-25,24500.9,24890.85,LONG,75,29246.19,1201.55,28044.64,1.53,Expiry Rollover,bull,28,,,,,,,,,,,,,,,,,
F1 Trend Futures,2025-09-25,2025-10-30,24890.85,25877.85,LONG,75,74025.0,1247.46,72777.54,3.9,Expiry Rollover,bull,35,,,,,,,,,,,,,,,,,
F1 Trend Futures,2025-10-30,2025-11-27,25877.85,26215.55,LONG,75,25327.59,1263.17,24064.41,1.24,Expiry Rollover,bull,28,,,,,,,,,,,,,,,,,
F1 Trend Futures,2025-11-27,2025-12-26,26215.55,26042.3,LONG,75,-12993.75,1255.11,-14248.86,-0.72,Expiry Rollover,bull,29,,,,,,,,,,,,,,,,,
F1 Trend Futures,2025-12-26,2026-01-29,26042.3,25418.9,LONG,65,-40521.03,1068.44,-41589.47,-2.46,Expiry Rollover,bull,34,,,,,,,,,,,,,,,,,
F1 Trend Futures,2026-01-29,2026-02-26,25418.9,25496.55,LONG,65,5047.28,1071.58,3975.7,0.24,Expiry Rollover,bull,28,,,,,,,,,,,,,,,,,
